,Job Title,Company Name,Location,Posted Date,Job Link
67,"Business Intelligence & Analyst - Digital Banking Business, SeaBank",SeaBank Indonesia,Jakarta,2023-09-29,https://id.linkedin.com/jobs/view/data-engineer-at-abhidi-solution-3725981907?refId=aKt3j1ofJoavgrPfZ7KHDQ%3D%3D&trackingId=DkTgCaZ3dw7DqbMWs%2BK61Q%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
68,Customer Loyalty SLA Control Tower & Data Analyst,Ninja Van,Area DKI Jakarta,2023-09-22,https://id.linkedin.com/jobs/view/it-solution-data-analyst-at-matchatalent-3727636618?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=pJH8i1iWeOzDdMUwgWqyzA%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
69,Data Analyst,Turing,Area DKI Jakarta,2023-08-27,https://id.linkedin.com/jobs/view/data-engineer-data-warehouse-at-traveloka-3706146417?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=K9KOl5gN8iAynwG5lNdAbg%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
70,Data Analyst (Tableu & BI),PT Shell Infotek Indonesia,Jakarta,2023-08-30,https://id.linkedin.com/jobs/view/data-engineer-at-code-id-3720926014?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=youG6o0GP%2BlmMGMD4yH%2BEg%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
71,Data Engineer,Zenius,Area DKI Jakarta,2023-08-18,https://id.linkedin.com/jobs/view/data-engineer-at-cermati-com-3708151291?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=4HVp4LvckdglflwZFaX8fw%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
72,Analytics Engineer,BitHealth,Kota Tangerang,2023-09-25,https://id.linkedin.com/jobs/view/data-science-analyst-at-accenture-southeast-asia-3729429890?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=iOy%2BrsHtHtkybLBuCkuRUA%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card
73,Ground Transport Data Analyst,Traveloka,Area DKI Jakarta,2023-05-15,https://id.linkedin.com/jobs/view/senior-data-analyst-ecommerce-startup-hybrid-at-michael-page-3575863895?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=kP3zXnx6nMvWCYS7UFNzdg%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card
74,Data Engineer,Abhidi Solution,Jakarta,2023-08-28,https://id.linkedin.com/jobs/view/data-engineer-at-rimm-sustainability-3673970440?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=uTVHcSn6BYa6Y5Cun7V56w%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card
75,(IT Solution) Data Analyst,MatchaTalent,Jakarta,2023-09-24,https://id.linkedin.com/jobs/view/system-engineer-at-pt-astra-graphia-information-technology-agit-3695203585?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=iqlWrECj%2FHZmrCCOhqryNg%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card
76,Data Engineer - Data Warehouse,Traveloka,Area DKI Jakarta,2023-08-28,https://id.linkedin.com/jobs/view/lead-data-analyst-agritech-at-michael-page-3635123413?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=n%2BpavVj42DvVglOwj4EOFg%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card
77,Data Engineer,CODE.ID,Jakarta,2023-09-14,https://id.linkedin.com/jobs/view/data-engineer-at-vlink-inc-3723707345?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=HYkaKudcO0oXQrYItvupZQ%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card
78,Data Engineer,cermati.com,Area DKI Jakarta,2023-09-08,https://id.linkedin.com/jobs/view/business-system-analyst-at-traveloka-3725775416?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=VU1H8sf%2BLvRtJh%2BEkeovSw%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card
79,Data Science Analyst,Accenture Southeast Asia,Area DKI Jakarta,2023-09-22,https://id.linkedin.com/jobs/view/senior-data-analyst-banking-at-amar-bank-3688188513?refId=ATYo9u5DfyN2g2dCs8IxqA%3D%3D&trackingId=QeCK5l%2Bo0cZyRex1FAMA3g%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card
